Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt2085059,2021-09-18,2021-09-18,,Black Mirror,https://www.imdb.com/title/tt2085059/,tvSeries,8.7,60,2011,"Drama, Mystery, Sci-Fi, Thriller",619226,2011-12-04,
2,tt8425058,2021-09-12,2021-09-12,,Brexit: The Uncivil War,https://www.imdb.com/title/tt8425058/,tvMovie,7.0,92,2019,"Biography, Drama, History",17553,2019-01-07,Toby Haynes
3,tt1210166,2021-09-12,2021-09-12,,Moneyball,https://www.imdb.com/title/tt1210166/,movie,7.6,133,2011,"Biography, Drama, Sport",453231,2011-09-09,Bennett Miller
4,tt2084970,2021-09-12,2021-09-12,,The Imitation Game,https://www.imdb.com/title/tt2084970/,movie,8.0,114,2014,"Biography, Drama, Thriller, War",808542,2014-08-29,Morten Tyldum
5,tt0133093,2021-09-12,2021-09-12,,The Matrix,https://www.imdb.com/title/tt0133093/,movie,8.7,136,1999,"Action, Sci-Fi",2006315,1999-03-24,"Lilly Wachowski, Lana Wachowski"
6,tt0234215,2021-09-12,2021-09-12,,The Matrix Reloaded,https://www.imdb.com/title/tt0234215/,movie,7.2,138,2003,"Action, Sci-Fi",619749,2003-05-07,"Lilly Wachowski, Lana Wachowski"
7,tt1798709,2021-09-12,2021-09-12,,Her,https://www.imdb.com/title/tt1798709/,movie,8.0,126,2013,"Drama, Romance, Sci-Fi",652705,2013-10-12,Spike Jonze
8,tt0470752,2021-09-18,2021-09-18,,Ex Machina,https://www.imdb.com/title/tt0470752/,movie,7.7,108,2014,"Drama, Sci-Fi, Thriller",573299,2014-12-16,Alex Garland
9,tt8134186,2021-09-18,2021-09-18,,Devs,https://www.imdb.com/title/tt8134186/,tvMiniSeries,7.7,409,2020,"Drama, Mystery, Sci-Fi, Thriller",45026,2020-03-05,
10,tt2884206,2021-09-18,2021-09-18,,I Origins,https://www.imdb.com/title/tt2884206/,movie,7.3,106,2014,"Drama, Mystery, Romance, Sci-Fi",131438,2014-01-18,Mike Cahill
11,tt4736550,2021-09-18,2021-09-18,,The Great Hack,https://www.imdb.com/title/tt4736550/,movie,7.0,114,2019,"Documentary, Biography, History",24747,2019-01-26,"Karim Amer, Jehane Noujaim"
12,tt2209764,2021-09-18,2021-09-18,,Transcendence,https://www.imdb.com/title/tt2209764/,movie,6.2,119,2014,"Action, Drama, Sci-Fi, Thriller",236528,2014-04-10,Wally Pfister
13,tt7312940,2021-09-18,2021-09-18,,Singularity,https://www.imdb.com/title/tt7312940/,movie,3.6,92,2017,"Action, Adventure, Drama, Sci-Fi",11568,2017-11-03,Robert Kouba
14,tt10838180,2021-09-19,2021-09-19,,The Matrix Resurrections,https://www.imdb.com/title/tt10838180/,movie,5.7,148,2021,"Action, Sci-Fi",271587,2021-12-16,Lana Wachowski
15,tt13087796,2021-10-17,2021-10-17,,Ich bin dein Mensch,https://www.imdb.com/title/tt13087796/,movie,7.1,108,2021,"Comedy, Drama, Romance, Sci-Fi",11804,2021-05-31,Maria Schrader
16,tt13207508,2022-01-02,2022-01-02,,Swan Song,https://www.imdb.com/title/tt13207508/,movie,6.8,116,2021,"Drama, Romance, Sci-Fi",16392,2021-11-12,Benjamin Cleary
17,tt8285216,2022-07-11,2022-07-11,,"Luchshe, chem lyudi",https://www.imdb.com/title/tt8285216/,tvSeries,7.3,52,2018,"Drama, Sci-Fi",10311,2018-11-23,
18,tt8291284,2022-11-14,2022-11-14,,The Peripheral,https://www.imdb.com/title/tt8291284/,tvSeries,7.6,,2022,"Drama, Mystery, Sci-Fi, Thriller",76008,2022-10-21,
19,tt19895946,2022-12-07,2022-12-07,,The Future Of,https://www.imdb.com/title/tt19895946/,tvSeries,5.5,20,2022,Documentary,538,2022-06-21,
20,tt4643084,2023-08-31,2023-08-31,,Counterpart,https://www.imdb.com/title/tt4643084/,tvSeries,8.0,60,2017,"Drama, Sci-Fi, Thriller",29919,2017-12-10,
